New York, Average Temperature, Precipitation
Temperature_Units: Degrees Fahrenheit
Precipitation_Units: Inches
Base Period: 1930-2000
Source: https://www.ncdc.noaa.gov/cag/city/time-series
Missing: -99
Date,Av_Temp_Value,Precc_Value
193001,32.6,2.37
193002,36.3,3.25
193003,39.6,2.23
193004,47.7,2.31
193005,63.1,3.43
193006,72.8,2.92
193007,75.7,6.61
193008,72.8,4.33
193009,71.3,1.48
193010,54.8,1.71
193011,44.7,5.62
193012,33.9,2.74
193101,32.0,2.56
193102,33.2,2.70
193103,39.6,4.83
193104,50.4,3.80
193105,60.7,4.38
193106,70.0,3.76
193107,76.8,3.39
193108,74.5,3.24
193109,71.7,1.57
193110,60.6,2.80
193111,51.2,0.61
193112,40.2,2.44
193201,42.5,4.45
193202,35.4,2.70
193203,36.6,5.82
193204,48.3,2.34
193205,61.3,2.95
193206,69.8,4.36
193207,75.4,1.42
193208,76.0,3.20
193209,68.7,1.23
193210,57.7,5.58
193211,43.3,7.37
193212,38.4,2.52
193301,39.5,1.78
193302,33.4,3.09
193303,37.9,6.08
193304,49.9,5.19
193305,63.9,5.20
193306,71.9,2.67
193307,75.3,3.72
193308,74.4,8.85
193309,69.1,10.0
193310,55.6,2.52
193311,41.4,0.90
193312,32.2,3.45
193401,34.2,3.42
193402,19.5,3.01
193403,36.8,4.48
193404,49.8,3.45
193405,63.2,5.19
193406,73.3,3.68
193407,77.3,4.24
193408,71.5,2.78
193409,68.8,11.9
193410,54.0,2.82
193411,48.4,2.17
193412,32.9,2.66
193501,28.4,3.91
193502,30.7,3.17
193503,42.9,2.48
193504,49.2,1.54
193505,59.4,1.06
193506,69.6,3.98
193507,76.8,5.24
193508,74.2,1.43
193509,64.8,4.34
193510,57.0,2.24
193511,48.2,3.26
193512,29.5,1.25
193601,28.8,7.54
193602,25.2,2.68
193603,44.7,5.45
193604,47.4,3.31
193605,63.9,2.97
193606,69.3,4.62
193607,75.7,1.89
193608,74.9,4.00
193609,67.7,4.82
193610,57.1,3.90
193611,42.2,1.14
193612,38.1,7.53
193701,39.8,5.96
193702,34.3,2.48
193703,36.0,2.90
193704,49.1,5.09
193705,63.7,2.91
193706,71.4,4.36
193707,76.1,5.54
193708,76.2,7.33
193709,65.6,5.06
193710,54.6,4.56
193711,45.9,4.73
193712,34.9,2.06
193801,31.7,3.99
193802,34.9,1.97
193803,43.7,2.22
193804,53.2,3.38
193805,60.3,3.37
193806,69.8,7.13
193807,76.1,5.83
193808,77.7,3.92
193809,65.5,9.06
193810,59.4,1.75
193811,47.8,3.28
193812,36.5,2.63
193901,31.7,3.80
193902,36.5,6.20
193903,38.7,4.77
193904,47.8,4.26
193905,64.5,0.89
193906,72.5,3.80
193907,76.2,0.99
193908,77.6,4.83
193909,68.1,1.90
193910,56.8,4.31
193911,43.2,1.40
193912,36.4,1.39
194001,24.5,2.61
194002,32.4,2.63
194003,34.6,4.73
194004,46.3,5.46
194005,60.2,7.61
194006,70.0,3.02
194007,75.8,3.30
194008,70.9,4.13
194009,66.1,2.82
194010,53.3,2.43
194011,44.9,3.55
194012,37.9,2.80
194101,29.0,3.23
194102,30.6,3.53
194103,35.4,3.05
194104,56.4,2.40
194105,64.2,2.25
194106,71.5,4.77
194107,75.4,4.07
194108,73.6,5.92
194109,69.5,0.51
194110,60.2,1.87
194111,49.6,3.39
194112,37.9,4.05
194201,30.3,2.88
194202,29.2,2.54
194203,42.5,5.91
194204,53.4,1.09
194205,64.8,1.78
194206,70.5,3.59
194207,75.8,7.15
194208,73.1,9.07
194209,67.8,4.23
194210,58.3,1.98
194211,46.5,3.72
194212,30.6,4.57
194301,30.3,2.46
194302,34.1,1.88
194303,39.7,3.68
194304,45.6,1.72
194305,62.1,5.05
194306,75.7,2.17
194307,76.4,3.38
194308,75.4,3.80
194309,66.9,1.71
194310,55.3,7.61
194311,44.9,2.11
194312,32.6,1.20
194401,33.4,3.20
194402,32.7,1.73
194403,37.1,5.98
194404,48.4,4.76
194405,66.5,1.18
194406,71.8,3.35
194407,78.9,1.83
194408,77.3,1.84
194409,69.6,10.3
194410,56.6,2.33
194411,45.5,5.96
194412,31.9,2.57
194501,24.7,2.25
194502,33.4,2.93
194503,50.6,2.23
194504,55.1,3.66
194505,58.7,5.34
194506,70.4,4.02
194507,74.1,5.16
194508,72.9,2.75
194509,69.9,5.50
194510,55.7,2.03
194511,47.1,4.56
194512,30.5,4.56
194601,33.7,1.86
194602,31.2,1.76
194603,49.4,3.21
194604,49.9,1.44
194605,61.5,6.80
194606,69.2,3.36
194607,75.0,5.11
194608,70.5,6.69
194609,69.3,4.02
194610,61.2,0.85
194611,50.0,1.66
194612,37.6,1.61
194701,36.7,2.74
194702,28.8,2.24
194703,37.3,2.30
194704,50.0,5.09
194705,59.5,4.25
194706,67.9,3.44
194707,75.0,2.72
194708,75.5,2.40
194709,68.1,3.15
194710,63.2,1.73
194711,43.7,6.82
194712,33.6,3.92
194801,25.0,4.74
194802,30.3,2.52
194803,41.6,3.51
194804,50.5,3.26
194805,59.7,7.58
194806,69.0,5.52
194807,76.7,4.52
194808,74.8,2.99
194809,69.8,1.28
194810,56.2,1.52
194811,52.0,3.17
194812,37.8,6.28
194901,38.2,6.03
194902,38.2,3.58
194903,42.4,1.66
194904,53.3,4.42
194905,62.6,3.41
194906,73.8,0.02
194907,79.2,4.21
194908,76.3,4.29
194909,65.7,3.43
194910,62.7,1.92
194911,45.8,0.96
194912,38.9,2.28
195001,40.9,2.27
195002,31.1,4.44
195003,35.9,2.73
195004,48.0,1.67
195005,58.3,2.66
195006,69.8,2.19
195007,74.6,4.25
195008,72.6,4.98
195009,64.1,1.48
195010,59.6,1.71
195011,47.9,4.24
195012,34.4,4.32
195101,35.4,3.31
195102,35.7,3.05
195103,41.1,5.62
195104,52.6,2.44
195105,62.9,4.93
195106,69.4,2.98
195107,76.4,3.67
195108,74.1,2.53
195109,67.7,0.70
195110,58.2,3.77
195111,43.1,6.50
195112,37.2,4.28
195201,35.7,4.56
195202,35.7,1.38
195203,39.7,4.00
195204,54.5,5.10
195205,60.2,4.78
195206,73.1,3.64
195207,79.8,3.32
195208,74.5,4.63
195209,69.4,2.05
195210,55.2,0.94
195211,48.1,3.06
195212,37.9,4.13
195301,37.2,4.90
195302,38.0,2.38
195303,42.9,8.77
195304,51.9,5.20
195305,62.9,4.35
195306,73.1,1.82
195307,77.4,3.86
195308,75.3,2.11
195309,69.9,1.10
195310,60.3,4.30
195311,49.2,2.03
195312,40.9,4.42
195401,30.3,1.65
195402,39.7,1.81
195403,41.1,3.25
195404,53.3,2.71
195405,59.4,3.11
195406,71.1,1.32
195407,76.2,0.96
195408,72.2,6.09
195409,66.9,4.76
195410,61.3,1.99
195411,45.9,4.93
195412,35.5,3.03
195501,30.5,0.78
195502,34.5,3.01
195503,41.2,3.72
195504,53.0,1.98
195505,64.9,2.64
195506,68.4,2.52
195507,80.4,0.51
195508,77.7,10.8
195509,67.3,2.67
195510,59.3,6.87
195511,43.8,4.12
195512,29.2,0.25
195601,31.6,1.54
195602,36.1,4.19
195603,36.9,5.04
195604,47.8,2.78
195605,58.2,2.21
195606,71.0,2.99
195607,72.5,3.13
195608,73.7,2.56
195609,64.4,2.32
195610,57.6,3.61
195611,46.2,2.62
195612,40.4,3.29
195701,28.1,1.70
195702,36.8,2.43
195703,41.5,2.00
195704,52.8,4.52
195705,62.6,3.67
195706,73.8,1.85
195707,77.2,1.47
195708,73.1,2.87
195709,69.2,3.01
195710,55.7,3.27
195711,48.9,4.46
195712,39.8,5.27
195801,31.4,3.79
195802,26.9,2.98
195803,39.8,3.19
195804,52.4,6.15
195805,58.6,3.26
195806,66.7,2.55
195807,75.6,3.69
195808,74.7,2.36
195809,67.1,4.44
195810,55.0,5.46
195811,47.5,1.85
195812,28.9,1.25
195901,30.8,2.35
195902,31.6,1.69
195903,39.6,3.77
195904,53.3,1.91
195905,65.9,1.33
195906,70.7,4.20
195907,75.8,4.28
195908,77.0,4.45
195909,71.8,1.11
195910,59.3,4.82
195911,45.3,4.22
195912,37.9,4.64
196001,33.4,2.40
196002,35.8,4.43
196003,32.9,2.96
196004,53.5,3.06
196005,62.2,2.98
196006,71.3,1.74
196007,74.1,8.29
196008,74.4,6.26
196009,67.2,5.39
196010,57.2,2.82
196011,48.9,3.06
196012,30.1,3.04
196101,26.9,1.88
196102,35.8,3.96
196103,40.7,4.23
196104,48.2,5.09
196105,59.0,3.61
196106,71.5,2.86
196107,77.3,4.92
196108,75.6,3.14
196109,72.7,1.70
196110,60.3,2.21
196111,47.9,2.71
196112,34.7,3.04
196201,31.7,2.63
196202,31.0,3.74
196203,42.2,2.97
196204,52.5,3.00
196205,63.6,1.26
196206,71.6,3.73
196207,73.2,1.67
196208,71.6,5.70
196209,64.1,3.10
196210,56.5,3.15
196211,42.4,3.94
196212,30.7,2.27
196301,29.3,1.94
196302,27.4,2.55
196303,42.8,3.62
196304,52.9,1.27
196305,60.3,2.16
196306,70.1,2.72
196307,75.6,2.20
196308,71.2,3.21
196309,62.2,3.95
196310,61.0,0.14
196311,49.5,8.24
196312,30.3,2.31
196401,34.8,4.62
196402,32.0,2.93
196403,42.3,2.57
196404,48.9,5.10
196405,64.6,0.57
196406,70.8,2.67
196407,74.6,4.18
196408,72.1,0.24
196409,66.3,1.69
196410,54.2,1.73
196411,48.6,2.55
196412,35.6,4.17
196501,28.8,3.09
196502,33.0,3.66
196503,39.2,2.50
196504,49.8,2.90
196505,65.6,1.58
196506,69.3,1.28
196507,73.5,1.33
196508,72.3,2.73
196509,66.6,1.70
196510,56.5,2.16
196511,45.9,1.46
196512,39.6,1.72
196601,31.4,2.63
196602,34.2,4.96
196603,41.8,0.94
196604,48.8,2.69
196605,60.7,4.26
196606,74.6,1.17
196607,78.8,1.25
196608,76.0,1.89
196609,65.7,8.82
196610,55.3,4.64
196611,48.1,3.47
196612,34.9,3.19
196701,36.5,1.39
196702,28.3,2.69
196703,36.7,5.98
196704,48.7,3.45
196705,54.4,4.08
196706,72.0,4.64
196707,74.5,6.99
196708,73.0,5.94
196709,65.9,1.84
196710,56.4,3.47
196711,41.6,2.59
196712,37.3,6.08
196801,25.9,2.04
196802,28.0,1.13
196803,42.4,4.80
196804,54.1,2.82
196805,58.7,7.06
196806,68.9,6.15
196807,76.5,2.63
196808,75.2,2.88
196809,69.8,1.97
196810,59.7,2.20
196811,46.1,5.76
196812,33.4,4.15
196901,31.0,1.10
196902,31.8,3.05
196903,39.2,3.73
196904,55.1,3.99
196905,64.4,2.67
196906,72.2,3.16
196907,73.9,7.37
196908,76.6,2.52
196909,68.1,8.32
196910,56.8,1.97
196911,45.5,3.57
196912,32.5,7.08
197001,24.3,0.67
197002,32.2,4.52
197003,-99.0,4.19
197004,51.3,3.48
197005,63.2,3.34
197006,70.0,2.27
197007,76.3,2.19
197008,76.8,2.47
197009,70.0,1.74
197010,58.1,2.48
197011,47.6,5.14
197012,33.6,2.82
197101,26.1,2.67
197102,34.3,5.33
197103,39.3,3.80
197104,49.9,2.96
197105,60.5,4.24
197106,73.4,2.31
197107,77.0,7.20
197108,75.1,9.37
197109,70.7,7.36
197110,61.8,4.15
197111,44.3,5.64
197112,39.9,1.76
197201,34.2,2.42
197202,30.6,5.91
197203,38.9,4.55
197204,49.3,3.92
197205,62.4,8.39
197206,67.0,9.30
197207,76.3,4.54
197208,74.8,1.92
197209,68.7,1.33
197210,52.7,6.27
197211,43.5,12.4
197212,37.7,6.09
197301,34.7,4.53
197302,31.7,4.55
197303,45.6,3.61
197304,52.5,8.05
197305,58.6,4.50
197306,72.6,4.55
197307,76.5,5.89
197308,76.8,3.09
197309,68.7,2.75
197310,59.4,3.92
197311,47.5,1.82
197312,38.2,9.98
197401,34.4,3.81
197402,30.9,1.49
197403,41.2,5.76
197404,54.3,3.83
197405,60.1,4.30
197406,68.2,3.30
197407,76.4,1.33
197408,75.6,5.99
197409,65.8,8.06
197410,53.3,2.59
197411,47.4,0.94
197412,38.5,6.33
197501,36.5,4.76
197502,35.0,3.33
197503,39.3,3.32
197504,47.0,3.04
197505,65.0,3.38
197506,69.7,7.58
197507,75.0,11.7
197508,73.5,3.05
197509,63.3,9.32
197510,58.4,3.70
197511,51.5,4.33
197512,35.0,3.63
197601,26.5,5.78
197602,39.0,3.13
197603,43.6,2.99
197604,54.2,2.81
197605,59.4,4.78
197606,72.3,2.78
197607,74.3,1.43
197608,74.0,6.52
197609,66.1,3.15
197610,52.4,5.31
197611,40.9,0.34
197612,29.3,2.29
197701,21.4,2.25
197702,32.9,2.50
197703,46.1,7.41
197704,53.4,3.75
197705,64.1,1.71
197706,69.0,3.83
197707,77.7,1.60
197708,74.4,4.57
197709,67.0,4.75
197710,54.2,5.03
197711,46.6,12.2
197712,34.4,5.06
197801,27.2,8.26
197802,26.4,1.59
197803,38.2,2.73
197804,50.6,2.39
197805,59.8,9.16
197806,69.8,1.69
197807,72.9,4.48
197808,75.3,5.50
197809,64.7,4.06
197810,54.6,1.50
197811,47.0,2.85
197812,37.6,5.61
197901,32.0,10.5
197902,23.7,4.58
197903,45.1,4.40
197904,51.4,4.04
197905,63.9,6.23
197906,68.1,1.56
197907,75.6,1.76
197908,75.1,4.27
197909,68.5,4.83
197910,55.6,3.87
197911,50.6,3.39
197912,39.3,2.69
198001,32.4,1.72
198002,30.1,1.04
198003,39.8,10.4
198004,53.2,8.27
198005,64.3,2.33
198006,69.0,3.85
198007,78.0,5.27
198008,78.9,1.16
198009,69.5,1.98
198010,53.9,3.86
198011,43.3,4.12
198012,31.1,0.59
198101,24.9,0.58
198102,37.9,6.05
198103,40.9,1.19
198104,54.8,3.42
198105,63.5,3.56
198106,71.7,2.71
198107,77.1,6.21
198108,74.6,0.59
198109,66.2,3.45
198110,53.1,3.48
198111,46.4,1.70
198112,35.2,5.18
198201,24.8,6.46
198202,34.0,2.37
198203,40.6,2.56
198204,49.9,5.67
198205,62.8,2.43
198206,67.2,5.12
198207,76.6,3.15
198208,71.8,4.66
198209,67.0,1.77
198210,57.2,2.31
198211,49.0,3.44
198212,41.4,1.47
198301,33.2,5.01
198302,35.1,3.22
198303,42.7,10.5
198304,51.0,14.0
198305,58.8,4.61
198306,72.0,2.82
198307,78.2,3.39
198308,76.4,7.26
198309,70.4,4.62
198310,56.5,8.63
198311,47.5,6.69
198312,33.8,9.77
198401,28.5,1.87
198402,39.3,4.86
198403,35.3,6.31
198404,50.6,6.62
198405,60.3,9.74
198406,73.1,5.76
198407,73.3,7.04
198408,75.3,1.38
198409,64.6,2.52
198410,60.4,3.63
198411,45.9,4.07
198412,42.4,3.26
198501,27.5,1.00
198502,35.2,2.41
198503,44.4,1.91
198504,54.2,1.42
198505,64.4,5.72
198506,67.7,4.41
198507,75.3,4.41
198508,74.6,2.58
198509,69.6,4.75
198510,58.6,1.30
198511,49.2,8.09
198512,33.4,0.84
198601,33.3,4.23
198602,31.1,2.86
198603,44.2,1.46
198604,53.6,3.94
198605,65.2,1.69
198606,70.7,1.86
198607,75.2,5.56
198608,72.2,4.25
198609,67.0,2.20
198610,57.1,1.92
198611,44.9,6.85
198612,38.2,6.16
198701,31.4,5.81
198702,32.3,1.01
198703,44.3,4.93
198704,52.6,5.90
198705,62.7,1.45
198706,72.0,3.94
198707,77.1,4.12
198708,73.3,4.90
198709,66.9,5.26
198710,52.9,3.89
198711,46.9,3.08
198712,38.7,2.17
198801,28.7,3.65
198802,34.1,3.91
198803,42.7,2.10
198804,50.3,2.20
198805,61.8,5.27
198806,71.0,1.29
198807,78.5,8.15
198808,78.0,2.19
198809,66.6,2.35
198810,51.9,3.56
198811,48.5,8.90
198812,35.1,1.13
198901,36.5,2.30
198902,33.7,3.02
198903,41.5,4.93
198904,51.3,4.26
198905,61.2,10.2
198906,71.2,8.79
198907,74.1,5.13
198908,73.1,8.44
198909,67.2,6.90
198910,57.3,7.48
198911,44.8,2.79
198912,25.0,0.83
199001,40.5,5.35
199002,38.9,2.33
199003,44.2,3.64
199004,52.6,5.12
199005,59.4,9.09
199006,71.3,2.50
199007,75.9,3.51
199008,74.4,12.3
199009,66.7,2.24
199010,61.0,6.38
199011,49.5,2.82
199012,41.7,5.58
199101,34.0,3.38
199102,39.1,1.93
199103,43.8,5.16
199104,54.8,3.68
199105,67.8,3.11
199106,73.2,4.16
199107,76.9,4.57
199108,76.2,7.14
199109,66.6,3.71
199110,57.6,2.13
199111,47.4,1.96
199112,38.7,4.26
199201,34.9,1.69
199202,35.5,1.87
199203,39.1,4.08
199204,49.7,1.76
199205,60.2,4.02
199206,69.4,4.77
199207,73.3,4.49
199208,72.0,3.49
199209,66.3,4.89
199210,53.7,1.16
199211,45.6,5.65
199212,37.0,5.51
199301,35.5,3.44
199302,29.9,2.81
199303,38.8,6.64
199304,52.4,4.28
199305,64.8,1.56
199306,72.4,1.49
199307,79.3,1.70
199308,76.3,5.41
199309,66.4,5.26
199310,55.1,4.54
199311,48.0,2.20
199312,36.5,4.95
199401,24.7,5.62
199402,29.8,3.44
199403,39.8,6.32
199404,54.8,2.43
199405,60.9,4.25
199406,74.3,3.21
199407,78.5,3.86
199408,73.1,6.33
199409,66.8,3.33
199410,57.1,1.35
199411,51.1,4.34
199412,41.3,2.91
199501,37.3,3.76
199502,31.0,3.13
199503,44.9,1.26
199504,50.9,2.29
199505,61.0,2.84
199506,71.4,2.09
199507,77.8,6.13
199508,77.0,0.18
199509,66.8,3.04
199510,60.8,7.81
199511,43.6,5.78
199512,32.4,2.12
199601,30.5,5.64
199602,33.9,2.59
199603,38.9,3.82
199604,52.2,6.33
199605,61.1,2.65
199606,71.4,5.72
199607,73.3,5.76
199608,74.4,1.87
199609,68.0,4.97
199610,56.4,7.52
199611,43.0,2.87
199612,41.3,6.48
199701,32.1,3.65
199702,40.0,2.55
199703,41.9,5.19
199704,51.7,2.87
199705,59.3,3.06
199706,70.9,1.93
199707,75.7,8.36
199708,73.3,3.21
199709,67.0,2.11
199710,56.7,2.10
199711,44.5,4.69
199712,38.2,4.28
199801,40.0,5.20
199802,40.6,5.81
199803,45.4,5.09
199804,54.0,7.06
199805,64.3,6.94
199806,69.2,5.94
199807,76.5,1.09
199808,76.7,2.78
199809,70.2,3.44
199810,57.5,2.76
199811,48.1,1.48
199812,43.2,1.13
199901,33.9,7.02
199902,38.8,3.49
199903,42.5,4.02
199904,53.5,1.94
199905,63.0,4.04
199906,73.2,0.59
199907,81.4,0.44
199908,75.5,2.89
199909,69.0,8.81
199910,56.0,2.73
199911,50.8,2.33
199912,39.9,3.23
200001,31.3,3.22
200002,37.3,1.66
200003,47.2,3.34
200004,51.0,3.53
200005,63.5,4.50
200006,71.3,4.87
200007,72.3,7.28
200008,72.4,3.82
200009,66.0,5.82
200010,57.0,0.67
200011,45.3,3.54
200012,31.1,3.20
200101,33.6,3.16
200102,35.9,1.95
200103,39.6,7.48
200104,53.9,1.58
200105,63.6,2.03
200106,72.9,5.30
200107,73.1,2.04
200108,78.7,2.56
200109,67.7,5.30
200110,58.5,0.66
200111,52.7,1.37
200112,44.1,2.24
200201,39.9,1.93
200202,40.6,0.71
200203,44.1,3.54
200204,56.1,3.42
200205,60.7,3.70
200206,71.4,4.48
200207,78.8,1.06
200208,77.7,4.92
200209,70.2,5.17
200210,55.2,7.20
200211,46.0,5.07
200212,36.0,4.07
200301,27.5,2.31
200302,30.1,4.55
200303,43.1,4.57
200304,49.8,3.20
200305,58.7,3.41
200306,68.4,10.2
200307,75.7,3.76
200308,76.7,5.85
200309,67.9,6.03
200310,55.1,4.91
200311,50.0,4.18
200312,37.6,5.43
200401,24.7,2.13
200402,35.0,2.68
200403,43.5,2.99
200404,53.6,4.11
200405,65.2,5.76
200406,71.2,3.02
200407,74.5,7.63
200408,74.2,3.02
200409,69.3,11.5
200410,56.0,1.15
200411,48.2,4.22
200412,38.4,3.71
200501,31.3,4.67
200502,36.5,3.04
200503,39.5,4.96
200504,55.1,4.81
200505,58.9,1.48
200506,74.0,3.21
200507,77.5,3.57
200508,79.7,3.96
200509,73.3,0.48
200510,57.9,16.7
200511,49.6,4.47
200512,35.3,4.60
200601,40.9,4.99
200602,35.7,2.88
200603,43.1,0.80
200604,55.7,5.56
200605,63.1,4.63
200606,71.0,8.55
200607,78.0,6.17
200608,75.8,6.08
200609,66.6,3.70
200610,56.3,7.07
200611,51.9,7.34
200612,43.6,2.15
200701,37.5,3.64
200702,28.3,1.99
200703,42.2,5.36
200704,50.3,13.0
200705,65.2,1.88
200706,71.4,6.56
200707,75.0,6.90
200708,74.0,7.18
200709,70.3,1.81
200710,63.6,4.66
200711,45.4,3.48
200712,37.0,5.22
200801,36.5,2.86
200802,35.8,5.96
200803,42.6,4.08
200804,54.9,2.77
200805,60.1,4.01
200806,74.0,4.70
200807,78.4,2.85
200808,73.8,5.58
200809,68.8,7.05
200810,55.1,3.62
200811,45.8,3.54
200812,38.1,6.62
200901,27.9,2.98
200902,36.7,0.93
200903,42.4,1.75
200904,54.5,4.69
200905,62.5,5.17
200906,67.5,10.0
200907,72.6,7.11
200908,75.7,4.23
200909,66.3,2.27
200910,55.0,5.59
200911,51.1,1.61
200912,35.9,7.27
201001,32.5,2.09
201002,33.1,6.70
201003,48.2,10.6
201004,57.9,2.99
201005,65.3,3.01
201006,74.7,2.20
201007,81.3,2.60
201008,77.4,4.14
201009,71.1,3.67
201010,58.1,4.91
201011,47.9,2.15
201012,32.8,4.24
201101,29.7,4.94
201102,36.0,3.47
201103,42.3,6.19
201104,54.3,5.36
201105,64.5,5.11
201106,72.3,3.26
201107,80.3,3.03
201108,75.3,18.9
201109,70.0,9.39
201110,57.1,6.09
201111,51.9,3.05
201112,43.3,4.01
201201,37.3,3.23
201202,40.9,1.37
201203,50.9,0.96
201204,54.8,3.56
201205,65.1,5.37
201206,71.0,2.98
201207,78.8,4.21
201208,76.7,2.92
201209,68.8,4.39
201210,58.1,2.93
201211,43.9,1.81
201212,41.5,4.80
201301,35.1,2.76
201302,33.9,4.25
201303,40.1,2.89
201304,53.0,1.31
201305,62.8,8.00
201306,72.7,10.1
201307,79.8,2.84
201308,74.6,2.85
201309,67.9,2.95
201310,60.2,0.36
201311,45.3,3.16
201312,38.6,4.85
201401,28.7,2.80
201402,31.7,5.48
201403,37.7,3.67
201404,52.3,7.85
201405,64.0,4.37
201406,72.5,4.26
201407,76.2,5.59
201408,74.5,2.25
201409,69.7,1.21
201410,59.6,5.78
201411,45.3,4.51
201412,40.6,6.04
201501,30.0,5.22
201502,24.1,2.04
201503,38.1,4.73
201504,54.3,2.08
201505,68.5,1.86
201506,71.2,4.79
201507,78.8,3.97
201508,79.0,2.35
201509,74.4,3.28
201510,58.1,3.91
201511,52.8,2.02
201512,50.8,4.72
201601,34.5,4.41
201602,37.8,4.41
201603,48.9,1.17
201604,53.3,1.62
201605,62.8,3.76
201606,72.2,2.60
201607,78.7,7.02
201608,79.2,1.98
201609,71.8,2.80
201610,58.8,4.15
201611,49.8,5.41
201612,38.4,2.89
201701,38.1,4.83
201702,41.7,2.48
201703,39.2,5.25
201704,57.1,3.84
201705,61.1,6.38
201706,72.0,4.77
201707,76.8,4.19
201708,74.0,3.34
201709,70.5,2.00
201710,64.1,4.19
201711,46.7,1.58
201712,35.1,2.21
201801,31.8,2.18
201802,42.1,5.83
201803,40.2,5.17
201804,49.5,5.78
201805,66.9,3.53
201806,71.7,3.11
201807,77.6,7.45
201808,78.1,8.60
201809,70.7,6.19
201810,57.7,3.59
201811,44.4,7.63
201812,40.2,6.51
201901,32.6,3.58
201902,36.3,3.14
201903,41.8,3.87
201904,55.5,4.56
201905,62.2,6.82
201906,71.7,5.45
201907,79.6,5.78
201908,75.5,3.70
201909,70.4,0.95
201910,59.9,6.16
201911,43.9,1.95
